Score terrain\proportion (Score humain = neutre) (SIF n°3);Beaucoup trop peu;Peu;Assez;Trop
Très faible;Impossible;Impossible;Très Difficile;Difficile
faible;Impossible;Très Difficile;Difficile;Moyen
Moyen;Très Difficile;Très Difficile;Moyen;Facile
Haut;Très Difficile;Moyen;Facile;Très Facile
Très haut;Difficile;Moyen;Très Facile;Très Facile
