Diff alt.\Alt cum (Impraticable) (SIF n°1);Faible;Moyenne;Élevée
Faible;Moyen;Vraiment Pas bon;Vraiment Pas bon
Moyenne;Moyen;Pas bon;Vraiment Pas bon
Élevée;Pas bon;Pas bon;Vraiment pas bon
