Diff alt.\Alt tot. (SIF n°4);Faible;Moyenne;Élevée
Faible;Bon;Moyen;Vraiment Pas bon
Moyenne;Très bon;Moyen;Moyen
Élevée;Bon;Bon;Pas bon
