Diff géo / Diff dist. (SIF n°6);Faible;Moyenne;Elevée
Vraiment pas bon;faible;Très faible;Très faible
Pas bon;moyen;Très faible;Très faible
Moyen;haut;Moyen;Faible
Bon;Haut;Moyen;Moyen
Très bon;Très haut;Haut;Moyen
