Diff alt.\Alt tot. (Peu Escarpé) (SIF n°1) ;Faible ;Moyenne ;Élevée
Faible ;Bon ;Moyen ;Vraiment Pas bon
Moyenne ;Très bon ;Moyen ;Moyen
Élevée ;Bon; Bon ;Pas bon
