score geo /score eau (sif ndeg8),tres faible,faible,moyen,haut,tres haut
tres faible,tres mauvais,mauvais,mauvais,passable,passable
faible,mauvais,mauvais,passable,bon,bon
moyen,mauvais,passable,bon,tres bon,tres bon
haut,passable,bon,tres bon,tres bon,excellent
tres haut,bon,bon,tres bon,excellent,excellent
