diff geo / diff dist. (sif ndeg6),faible,moyenne,elevee
vraiment pas bon,faible,tres faible,tres faible
pas bon,moyen,tres faible,tres faible
moyen,haut,moyen,faible
bon,haut,moyen,moyen
tres bon,tres haut,haut,moyen
